Id,author,title,editor,year,price,category
1,AMRANI Djamal,Entre la dent et la mémoire,SNED,1981,,8
2,APOLLINAIRE Guillaume,APOLLINAIRE - documents iconographiques,Pierre Cailler,1965,,8
3,APOLLINAIRE Guillaume,L'enchanteur pourrissant - Les mamelles de Tirésias et des Couleurs du temps,Poésie/Gallimard,1972,,8
4,ARAGON Louis,Les yeux d'Elsa,les cahiers du Rhône,1942,,8
5,ARAGON Louis,La Diane française,Seghers,1955,,8
6,ARAGON Louis,Les yeux d'Elsa,Seghers,1979,,8
7,ARNOULT Pierre,Rimbaud,Albin Michel,1943,,8
8,ARTAUD Antonin,L'ombilic des limbes - Le pèse-nerfs et autres textes,Poésie / Gallimard,1986,,8
9,BEAUDELAIRE Charles,Les fleurs du mal,JcLattès,1988,,8
10,BEAUDELAIRE Charles,Les fleurs du mal,JcLattès,1987,,8
11,BEAUDELAIRE Charles,Les fleurs du mal,Le livre de poche,1972,,8
12,BEDOUIN Jean-Louis,André Breton - Poètes d'aujourd'hui,Seghers,1950,,8
13,BRETON André,L'amour fou,Folio poche,1976,,8
14,BRETON André,Clair de terre,Poésie/Gallimard,1961,,8
15,BRETON André/ÉLUARD Paul,L'Immaculée Conception,Seghers,1972,,8
16,CHAR René,Sur la poésie,GLM,1958,,8
17,COCTEAU Jean,Vocabulaire Plain-Chant et autres poèmes 1922-1946,Poésie/Gallimard,1983,,8
18,COCTEAU Jean,Le testament d'Orphée - Le sang d'un poète,Rocher/Littérature,1983,,8
19,COHEN Jean,Structure du langage poétique,Champs Flammarion,1978,,8
20,D'ANNE Yve,Âmes d'acier,Debresse,1951,,8
21,DARMANGEAT Pierre/TAVARES BASTOS A. D.,Introduction à la poésie ibéro-américaine,Le livre du jour,1947,,8
22,DEGUY Michel,Poèmes 1960-1970,Poésie/Gallimard,1973,,8
23,DEMIÉVILLE Paul,Anthologie de la poésie chinoise,Poésie/Gallimard,1982,,8
24,DESNOS Robert,Corps et biens,Poésie/Gallimard,1968,,8
26,DUVIARD Ferdinand,Anthologie des poètes français XVIIe Siècle,Larousse,1944,,8
27,École Freinet,Enfants-poètes,La table ronde,1955,,8
28,ÉLUARD Paul,Poésie ininterrompue,Poésie/Gallimard,1995,,8
29,FARGUE Léon-Paul,Poésies,Poésie/Gallimard,1967,,8
30,FUMAROLI Marc,Le statut de la littérature - Mélanges offerts à Paul Bénichou,Droz,1982,,8
31,HIKMET Nazim,"Paris, ma rose",Pierre Jean Oswald,1961,,8
32,HURRICANE - Cris insulaires,Anthologie poétique,Desnel,2005,,8
34,JACOB Max,Le cornet à dés,NRF Poésie,1967,,8
35,JACOB Max,Derniers poèmes en vers en prose,Poésie/Gallimard,2004,,8
36,JAVA,"JAVA - été 95, n° 13",JAVA,1995,,8
37,KHAWAM René R.,Poésie arabe,Seghers,1960,,8
38,KHEMIR Nacer,L'ogresse,La Découverte,1984,,8
39,La poésie baroque,"Choix de poèmes - tome 1, 15606-1600",Larousse,1969,,8
40,LAFORGUE Jules,Œuvres complètes - I. Poésies,Mercure de France,1951,,8
41,LARMAND Léon,Les poètes de la ripaille - Anthologie de poésies de table du XVe Siècle à nos jours,Louis Michaud,1920-1930,,8
42,LASNE René,Anthologie de la poésie allemande,Stock,1951,,8
43,MALLARMÉ Stéphane,Poésies,Poésie/Gallimard,1994,,8
45,MICHAUX Henri,Plume - Précédé de Lointain intérieur,Poésie/Gallimard,1985,,8
46,MICHAUX Henri,La nuit remue,Poésie/Gallimard,1987,,8
47,MICHAUX Henri,Poteaux d'angle,Poésie/Gallimard,2004,,8
48,NERUDA Pablo,Hauteurs de Machu-Pichu,Seghers,1974,,8
49,ORIZET Jean,Anthologie de la poésie française,Larousse,2007,,8
50,PAULHAN Jean,Clef de la poésie,Gallimard,944,,8
51,PICARD Raymond,La poésie française de 1640 à 1680 - Poésie religieuse épopée lyrisme officiel,SEDES,1965,,8
52,PICARD Raymond,"La poésie française de 1640 à 1680 - Satire, épitre burlesque, poésie galante",SEDES,1969,,8
53,PLACE Jean-Michel,Enquête poésie auprès de 250 revues littéraires,Jean-Michel Place,1979,,8
54,POE Edgar,Les poèmes d'Edgar Poe,Poésie/Gallimard,2000,,8
55,POMèS Mathilde,Anthologie de la poésie espagnole,Stock,1957,,8
56,PONCHON Raoul,La muse gaillarde,Éditions RIEDER,1939,,8
57,PRÉVERT Jacques,Histoires,Folio poche,2005,,8
58,QUENEAU Raymond,Battre la campagne,Gallimard,1968,,8
59,RAYMOND Jean,NERVAL par lui-même,Seuil,1964,,8
60,RENONDEAU G.,Anthologie de la poésie japonaise classique,Gallimard,1971,,8
61,RILKE Rainer-Maria,Le livre de la pauvreté et de la mort,Actes Sud,1989,,8
62,RIMBAUD Arthur,"Rimbaud vivant - juin 2010, n° 49",Les amis de Rimbaud,2010,,8
63,RIMBAUD Arthur,Poésies - Une saison en enfer - Illuminations,Poésie/Gallimard,1983,,8
64,ROUSSET Jean,"Anthologie de la poésie baroque française, tome 1",Armand Colin,1961,,8
65,ROY Claude,Le voyage d’automne,Gallimard,1987,,8
66,SIMON Yves/DYLAN Bob,Chanson,Vagabondages,1979,,8
67,TARDIEU Jean,Monsieur Monsieur,Gallimard,1987,,8
68,TARDIEU Jean,Comme ceci comme cela,Gallimard,1979,,8
69,TARDIEU Jean,Le fleuve caché - Poésies 1938-1961,Poésie/Gallimard,2008,,8
70,TARDIEU Jean,Margeries - Poèmes inédits 1910-1985,Poésie/Gallimard,2009,,8
71,TARDIEU Jean,La part de l'ombre - Proses 1937-1967,Poésie/Gallimard,1995,,8
72,VALÉRY Paul,Poésies,Gallimard,1966,,8
73,VERLAINE Paul,Parallèlement - Invectives ,Armand Colin,1959,,8
74,VERLAINE Paul,Poèmes choisis,Fernànd Hazan,1945,,8
75,VERLAINE Paul,Poèmes ,JcLattès,1988,,8
76,VERLAINE Paul,Fêtes galantes - Romances sans paroles - précédés de Poèmes saturniens,Poésie/Gallimard,1982,,8
77,VILLON François,Œuvres complètes,Le grand livre du mois,1992,,8
